Date,Price,Open,High,Low,Vol.,Change %
7/29/20,5.175,5.15,5.22,5.055,1.08K,4.33%
7/28/20,4.96,4.775,4.975,4.775,0.18K,3.66%
7/27/20,4.785,4.95,5.01,4.875,0.22K,-4.49%
7/24/20,5.01,5.025,5.04,4.895,0.13K,0.50%
7/23/20,4.985,4.925,5.125,4.925,0.22K,3.21%
7/22/20,4.83,4.82,4.915,4.725,0.29K,0.84%
7/21/20,4.79,4.9,4.975,4.765,0.52K,1.27%
7/20/20,4.73,4.95,4.98,4.71,0.25K,-7.53%
7/17/20,5.115,5.16,5.165,5.065,0.61K,1.09%
7/16/20,5.06,5.09,5.11,5,0.16K,-3.16%
7/15/20,5.225,5.35,5.395,5.225,0.12K,2.75%
7/14/20,5.085,5.16,5.18,4.99,1.22K,-0.49%
7/13/20,5.11,5.52,5.55,5.09,0.71K,-6.67%
7/10/20,5.475,5.57,5.585,5.425,0.11K,-4.87%
7/9/20,5.755,5.855,5.875,5.76,0.09K,-3.03%
7/8/20,5.935,6.09,6.19,5.86,0.13K,-3.10%
7/7/20,6.125,6.13,6.315,6.13,0.06K,0.49%
7/6/20,6.095,6.145,6.15,6.075,0.14K,2.52%
7/2/20,5.945,5.765,5.95,5.71,0.66K,1.36%
7/1/20,5.865,5.95,6.185,5.8,0.71K,-4.87%
6/30/20,6.165,6.105,6.455,6.025,0.26K,5.57%
6/29/20,5.84,5.4,5.87,5.4,0.51K,14.40%
6/26/20,5.105,5.065,5.23,5.045,0.21K,-2.85%
6/25/20,5.255,5.425,5.435,5.285,0.05K,-7.24%
6/24/20,5.665,5.825,5.845,5.68,0.30K,-2.83%
6/23/20,5.83,5.7,5.85,5.7,0.57K,6.10%
6/22/20,5.495,5.45,5.525,5.39,0.41K,-2.14%
6/19/20,5.615,5.55,5.675,5.55,0.30K,3.03%
6/18/20,5.45,5.425,5.525,5.325,0.67K,4.61%
6/17/20,5.21,5.2,5.275,4.995,0.66K,-0.95%
6/16/20,5.26,5.55,5.55,5.175,0.43K,-4.62%
6/15/20,5.515,5.45,5.575,5.4,0.34K,4.55%
6/12/20,5.275,5.15,5.44,5.15,0.51K,5.71%
6/11/20,4.99,4.775,5.03,4.775,0.38K,3.96%
6/10/20,4.8,4.7,4.85,4.625,0.59K,-0.10%
6/9/20,4.805,5.275,5.275,4.775,0.19K,-8.48%
6/8/20,5.25,5.6,5.775,5.255,0.28K,-8.06%
6/5/20,5.71,5.35,5.85,5.125,0.33K,5.94%
6/4/20,5.39,4.975,5.4,4.975,0.52K,1.13%
6/3/20,5.33,5.15,5.54,4.94,0.45K,9.90%
6/2/20,4.85,4.37,4.95,4.35,0.88K,19.61%
6/1/20,4.055,4.1,4.25,3.95,0.74K,-7.53%
5/29/20,4.385,4.425,4.5,4.4,0.05K,24.93%
5/28/20,3.51,3.7,3.85,3.5,1.57K,-5.01%
5/27/20,3.695,3.8,3.98,3.625,0.17K,-10.42%
5/26/20,4.125,4.35,4.91,4.25,0.41K,6.04%
5/22/20,3.89,3.75,4.06,3.65,0.22K,1.70%
5/21/20,3.825,3.965,4,3.79,0.03K,-14.24%
5/20/20,4.46,4.75,4.76,4.42,0.08K,-3.25%
5/19/20,4.61,4.775,4.825,4.61,0.14K,-6.30%
